NO,Result,Reason
AB_3441,No URL found,No explicit http/https URL found
AB_3442,Yes,Study data or materials available at URL
AB_3443,Yes,Study data or materials available at URL
AB_3444,Yes,Study data or materials available at URL
AB_3445,Yes,Study data or materials available at URL
AB_3446,Yes,Study data or materials available at URL
AB_3447,Yes,Study data or materials available at URL
AB_3448,Yes,Study data or materials available at URL
AB_3449,Yes,Study data or materials available at URL
AB_3450,Yes,Study data or materials available at URL
