NO,Result,Reason
AB_3961,Yes,URL plausibly provides research-related outputs
AB_3962,Yes,Study data or materials available at URL
AB_3963,Yes,Study data or materials available at URL
AB_3964,Yes,URL plausibly provides research-related outputs
AB_3965,Yes,Study data or materials available at URL
AB_3966,Yes,Study data or materials available at URL
AB_3967,Yes,URL plausibly provides research-related outputs
AB_3968,Yes,URL plausibly provides research-related outputs
AB_3969,Yes,Study data or materials available at URL
AB_3970,Yes,URL plausibly provides research-related outputs
