NO,Result,Reason
AB_0821,Yes,Research-related materials plausibly available at URL
AB_0822,Yes,Research-related materials plausibly available at URL
AB_0823,Yes,Research-related materials plausibly available at URL
AB_0824,Yes,Study data or code available at URL
AB_0825,Yes,Study data or code available at URL
AB_0826,Yes,Study data or code available at repository URL
AB_0827,Yes,Research-related materials plausibly available at URL
AB_0828,No,URL explicitly refers to third-party registry without study outputs
AB_0829,Yes,Study resources available at project website URL
AB_0830,Yes,Study data or code available at URL
