NO,Result,Reason
AB_3401,Yes,Study data or materials available at URL
AB_3402,Yes,Study data or materials available at URL
AB_3403,Yes,Study data or materials available at URL
AB_3404,Yes,Study data or materials available at URL
AB_3405,Yes,Study data or materials available at URL
AB_3406,Yes,Study data or materials available at URL
AB_3407,Yes,Study data or materials available at URL
AB_3408,Yes,Study data or materials available at URL
AB_3409,Yes,Study data or materials available at URL
AB_3410,Yes,Study data or materials available at URL
