NO,Result,Reason
AB_2981,Yes,"Study data, code, or resources available at repository or project URL"
AB_2982,Yes,"Study data, code, or resources available at repository or project URL"
AB_2983,Yes,"Study data, code, or resources available at repository or project URL"
AB_2984,Yes,"Study data, code, or resources available at repository or project URL"
AB_2985,Yes,"Study data, code, or resources available at repository or project URL"
AB_2986,Yes,"Study data, code, or resources available at repository or project URL"
AB_2987,Yes,"Study data, code, or resources available at repository or project URL"
AB_2988,Yes,"Study data, code, or resources available at repository or project URL"
AB_2989,Yes,"Study data, code, or resources available at repository or project URL"
AB_2990,Yes,"Study data, code, or resources available at repository or project URL"
