NO,Result,Reason
AB_1791,Yes,Study-related resources available at URL
AB_1792,Yes,Study-related resources available at URL
AB_1793,Yes,Study code available at GitHub repository URL
AB_1794,Yes,Study code available at GitHub repository URL
AB_1795,Yes,Study code available at GitHub repository URL
AB_1796,Yes,Study code available at GitHub repository URL
AB_1797,Yes,Study code available at GitHub repository URL
AB_1798,Yes,Study code available at GitHub repository URL
AB_1799,Yes,Study code available at GitHub repository URL
AB_1800,Yes,Study code available at GitHub repository URL
