NO,Result,Reason
AB_1031,Yes,"Study data, code, or materials indicated at URL"
AB_1032,Yes,"Study data, code, or materials indicated at URL"
AB_1033,Yes,"Study data, code, or materials indicated at URL"
AB_1034,Yes,"Study data, code, or materials indicated at URL"
AB_1035,Yes,URL plausibly provides research-related outputs
AB_1036,Yes,"Study data, code, or materials indicated at URL"
AB_1037,Yes,"Study data, code, or materials indicated at URL"
AB_1038,Yes,"Study data, code, or materials indicated at URL"
AB_1039,Yes,URL plausibly provides research-related outputs
AB_1040,Yes,"Study data, code, or materials indicated at URL"
