NO,Result,Reason
AB_0151,Yes,Study data or materials available at repository URL
AB_0152,Yes,Study data or materials available at repository URL
AB_0153,Yes,Study data or materials available at repository URL
AB_0154,Yes,Study data or materials available at repository URL
AB_0155,Yes,Study data or materials available at repository URL
AB_0156,Yes,Study data or materials available at repository URL
AB_0157,Yes,Study data or materials available at repository URL
AB_0158,Yes,Study data or materials available at repository URL
AB_0159,Yes,Study data or materials available at repository URL
AB_0160,Yes,Study data or materials available at repository URL
