NO,Result,Reason
AB_3981,Yes,Study data or materials available at URL
AB_3982,Yes,URL plausibly provides research-related outputs
AB_3983,Yes,Study data or materials available at URL
AB_3984,Yes,Study data or materials available at URL
AB_3985,Yes,Study data or materials available at URL
AB_3986,Yes,URL plausibly provides research-related outputs
AB_3987,Yes,URL plausibly provides research-related outputs
AB_3988,Yes,URL plausibly provides research-related outputs
AB_3989,Yes,Study data or materials available at URL
AB_3990,Yes,Study data or materials available at URL
