NO,Result,Reason
AB_1271,Yes,"Study data, code, or materials indicated at URL"
AB_1272,Yes,"Study data, code, or materials indicated at URL"
AB_1273,Yes,"Study data, code, or materials indicated at URL"
AB_1274,Yes,URL plausibly provides research-related outputs
AB_1275,No,URL links to general institutional or informational page without outputs
AB_1276,Yes,"Study data, code, or materials indicated at URL"
AB_1277,Yes,"Study data, code, or materials indicated at URL"
AB_1278,Yes,"Study data, code, or materials indicated at URL"
AB_1279,Yes,"Study data, code, or materials indicated at URL"
AB_1280,Yes,URL plausibly provides research-related outputs
