NO,Result,Reason
AB_3501,Yes,Study data or materials available at URL
AB_3502,Yes,Study data or materials available at URL
AB_3503,Yes,Study data or materials available at URL
AB_3504,Yes,Study data or materials available at URL
AB_3505,Yes,Study data or materials available at URL
AB_3506,No URL found,No explicit http/https URL found
AB_3507,Yes,Study data or materials available at URL
AB_3508,Yes,Study data or materials available at URL
AB_3509,Yes,Study data or materials available at URL
AB_3510,Yes,Study data or materials available at URL
