NO,Result,Reason
AB_1531,Yes,Study code available at GitHub repository URL
AB_1532,Yes,Study code available at GitHub repository URL
AB_1533,Yes,Study code available at GitHub repository URL
AB_1534,No,"URL explicitly refers to clinical trial registration, not study outputs"
AB_1535,No,"URL explicitly refers to clinical trial registration, not study outputs"
AB_1536,Yes,Study code available at GitHub repository URL
AB_1537,Yes,Study code available at GitHub repository URL
AB_1538,Yes,Study code available at GitHub repository URL
AB_1539,No,URL refers to external system webpage without study outputs
AB_1540,No,"URL links to company product page, not study outputs"
