NO,Result,Reason
AB_0091,Yes,"Study data, code, or materials available at repository URL"
AB_0092,Yes,"Study data, code, or materials available at repository URL"
AB_0093,Yes,"Study data, code, or materials available at repository URL"
AB_0094,Yes,"Study data, code, or materials available at repository URL"
AB_0095,Yes,"Study data, code, or materials available at repository URL"
AB_0096,Yes,"Study data, code, or materials available at repository URL"
AB_0097,Yes,"Study data, code, or materials available at repository URL"
AB_0098,Yes,"Study data, code, or materials available at repository URL"
AB_0099,Yes,"Study data, code, or materials available at repository URL"
AB_0100,Yes,"Study data, code, or materials available at repository URL"
