NO,Result,Reason
AB_0251,Yes,Study data or materials available at repository URL
AB_0252,Yes,Study data or materials available at repository URL
AB_0253,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0254,Yes,Study data or materials available at repository URL
AB_0255,Yes,Study data or materials available at repository URL
AB_0256,Yes,Study data or materials available at repository URL
AB_0257,Yes,Study data or materials available at repository URL
AB_0258,Yes,Study data or materials available at repository URL
AB_0259,Yes,Study data or materials available at repository URL
AB_0260,Yes,Study data or materials available at repository URL
