NO,Result,Reason
AB_2991,No URL found,No explicit http/https URL found
AB_2992,Yes,"Study data, code, or resources available at repository or project URL"
AB_2993,Yes,"Study data, code, or resources available at repository or project URL"
AB_2994,Yes,"Study data, code, or resources available at repository or project URL"
AB_2995,Yes,"Study data, code, or resources available at repository or project URL"
AB_2996,Yes,"Study data, code, or resources available at repository or project URL"
AB_2997,Yes,"Study data, code, or resources available at repository or project URL"
AB_2998,Yes,"Study data, code, or resources available at repository or project URL"
AB_2999,No URL found,No explicit http/https URL found
AB_3000,Yes,"Study data, code, or resources available at repository or project URL"
