NO,Result,Reason
AB_1821,Yes,Study code available at GitHub repository URL
AB_1822,Yes,Study code available at GitHub repository URL
AB_1823,Yes,Study code available at GitHub repository URL
AB_1824,No,"URL explicitly refers to registration record, not study outputs"
AB_1825,Yes,Study code available at GitHub repository URL
AB_1826,Yes,Study code available at GitHub repository URL
AB_1827,Yes,Study code available at GitHub repository URL
AB_1828,Yes,Study code available at GitHub repository URL
AB_1829,Yes,Study code available at GitHub repository URL
AB_1830,Yes,Study-related resources available at URL
