NO,Result,Reason
AB_3881,Yes,Study data or materials available at URL
AB_3882,Yes,Study data or materials available at URL
AB_3883,Yes,URL plausibly provides research-related outputs
AB_3884,Yes,Study data or materials available at URL
AB_3885,Yes,Study data or materials available at URL
AB_3886,Yes,Study data or materials available at URL
AB_3887,Yes,Study data or materials available at URL
AB_3888,Yes,URL plausibly provides research-related outputs
AB_3889,Yes,Study data or materials available at URL
AB_3890,Yes,Study data or materials available at URL
