NO,Result,Reason
AB_2821,Yes,"Study data, code, or resources available at repository or project URL"
AB_2822,Yes,"Study data, code, or resources available at repository or project URL"
AB_2823,Yes,"Study data, code, or resources available at repository or project URL"
AB_2824,Yes,"Study data, code, or resources available at repository or project URL"
AB_2825,Yes,"Study data, code, or resources available at repository or project URL"
AB_2826,Yes,"Study data, code, or resources available at repository or project URL"
AB_2827,Yes,"Study data, code, or resources available at repository or project URL"
AB_2828,Yes,"Study data, code, or resources available at repository or project URL"
AB_2829,Yes,"Study data, code, or resources available at repository or project URL"
AB_2830,Yes,"Study data, code, or resources available at repository or project URL"
