NO,Result,Reason
AB_1101,Yes,"Study data, code, or materials indicated at URL"
AB_1102,Yes,"Study data, code, or materials indicated at URL"
AB_1103,Yes,URL plausibly provides research-related outputs
AB_1104,Yes,URL plausibly provides research-related outputs
AB_1105,Yes,"Study data, code, or materials indicated at URL"
AB_1106,Yes,"Study data, code, or materials indicated at URL"
AB_1107,Yes,URL plausibly provides research-related outputs
AB_1108,Yes,URL plausibly provides research-related outputs
AB_1109,Yes,"Study data, code, or materials indicated at URL"
AB_1110,Yes,"Study data, code, or materials indicated at URL"
