NO,Result,Reason
AB_2021,Yes,Study-related resources indicated via URL
AB_2022,Yes,Study-related resources indicated via URL
AB_2023,Yes,Study-related resources indicated via URL
AB_2024,Yes,Study-related resources indicated via URL
AB_2025,Yes,Study-related resources indicated via URL
AB_2026,Yes,Study-related resources indicated via URL
AB_2027,Yes,Study-related resources indicated via URL
AB_2028,Yes,Study-related resources indicated via URL
AB_2029,Yes,Study-related resources indicated via URL
AB_2030,Yes,Study-related resources indicated via URL
