NO,Result,Reason
AB_1551,Yes,Study code available at GitHub repository URL
AB_1552,Yes,Study web-based system providing study outputs
AB_1553,Yes,Study code available at GitHub repository URL
AB_1554,Yes,Study dataset available via PANGAEA DOI repository URL
AB_1555,Yes,Study code available at GitHub repository URL
AB_1556,Yes,Study dataset available via Figshare DOI repository URL
AB_1557,Yes,Study code available at GitHub repository URL
AB_1558,Yes,Study code available at GitHub repository URL
AB_1559,Yes,Study dataset and code available via DOI repository and GitHub URL
AB_1560,Yes,Study code available at GitHub repository URL
