NO,Result,Reason
AB_2701,Yes,"Study data, code, or resources available at repository or project URL"
AB_2702,Yes,"Study data, code, or resources available at repository or project URL"
AB_2703,Yes,"Study data, code, or resources available at repository or project URL"
AB_2704,Yes,"Study data, code, or resources available at repository or project URL"
AB_2705,Yes,"Study data, code, or resources available at repository or project URL"
AB_2706,Yes,"Study data, code, or resources available at repository or project URL"
AB_2707,Yes,"Study data, code, or resources available at repository or project URL"
AB_2708,Yes,"Study data, code, or resources available at repository or project URL"
AB_2709,Yes,"Study data, code, or resources available at repository or project URL"
AB_2710,Yes,"Study data, code, or resources available at repository or project URL"
