NO,Result,Reason
AB_0171,Yes,Study data or materials available at repository URL
AB_0172,Yes,Study data or materials available at repository URL
AB_0173,Yes,Study data or materials available at repository URL
AB_0174,Yes,Study data or materials available at repository URL
AB_0175,Yes,Study data or materials available at repository URL
AB_0176,Yes,Study data or materials available at repository URL
AB_0177,Yes,Study data or materials available at repository URL
AB_0178,Yes,Study data or materials available at repository URL
AB_0179,Yes,Study data or materials available at repository URL
AB_0180,Yes,Study data or materials available at repository URL
