NO,Result,Reason
AB_0501,Yes,Study data or materials available at repository URL
AB_0502,Yes,Study data or materials available at repository URL
AB_0503,Yes,Study data or materials available at repository URL
AB_0504,Yes,Study data or materials available at repository URL
AB_0505,Yes,Study data or materials available at repository URL
AB_0506,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0507,Yes,Study data or materials available at repository URL
AB_0508,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0509,Yes,Study data or materials available at repository URL
AB_0510,Yes,Study data or materials available at repository URL
