NO,Result,Reason
AB_0741,Yes,Study data or code available at URL
AB_0742,Yes,Research-related materials plausibly available at URL
AB_0743,Yes,Research-related materials plausibly available at URL
AB_0744,Yes,Study data or code available at URL
AB_0745,Yes,Research-related materials plausibly available at URL
AB_0746,Yes,Study data or code available at URL
AB_0747,Yes,Research-related materials plausibly available at URL
AB_0748,Yes,Study resources available at project website URL
AB_0749,Yes,Study data or code available at URL
AB_0750,No,URL explicitly refers to third-party registry without study outputs
