NO,Result,Reason
AB_1361,Yes,"Study data, code, or materials indicated at URL"
AB_1362,Yes,"Study data, code, or materials indicated at URL"
AB_1363,Yes,"Study data, code, or materials indicated at URL"
AB_1364,Yes,"Study data, code, or materials indicated at URL"
AB_1365,Yes,URL plausibly provides research-related outputs
AB_1366,Yes,"Study data, code, or materials indicated at URL"
AB_1367,Yes,"Study data, code, or materials indicated at URL"
AB_1368,Yes,"Study data, code, or materials indicated at URL"
AB_1369,Yes,"Study data, code, or materials indicated at URL"
AB_1370,Yes,"Study data, code, or materials indicated at URL"
