NO,Result,Reason
AB_0111,Yes,Study data or materials available at repository URL
AB_0112,Yes,Study data or materials available at repository URL
AB_0113,Yes,Study data or materials available at repository URL
AB_0114,Yes,Study data or materials available at repository URL
AB_0115,Yes,Study data or materials available at repository URL
AB_0116,Yes,Study data or materials available at repository URL
AB_0117,Yes,Study data or materials available at repository URL
AB_0118,Yes,Study data or materials available at repository URL
AB_0119,Yes,Study data or materials available at repository URL
AB_0120,Yes,Supporting materials provided via DOI URL
