NO,Result,Reason
AB_1191,Yes,"Study data, code, or materials indicated at URL"
AB_1192,Yes,"Study data, code, or materials indicated at URL"
AB_1193,Yes,"Study data, code, or materials indicated at URL"
AB_1194,Yes,"Study data, code, or materials indicated at URL"
AB_1195,Yes,"Study data, code, or materials indicated at URL"
AB_1196,Yes,"Study data, code, or materials indicated at URL"
AB_1197,Yes,"Study data, code, or materials indicated at URL"
AB_1198,Yes,"Study data, code, or materials indicated at URL"
AB_1199,Yes,"Study data, code, or materials indicated at URL"
AB_1200,Yes,"Study data, code, or materials indicated at URL"
