NO,Result,Reason
AB_1311,Yes,"Study data, code, or materials indicated at URL"
AB_1312,Yes,URL plausibly provides research-related outputs
AB_1313,Yes,URL plausibly provides research-related outputs
AB_1314,Yes,"Study data, code, or materials indicated at URL"
AB_1315,Yes,"Study data, code, or materials indicated at URL"
AB_1316,Yes,"Study data, code, or materials indicated at URL"
AB_1317,Yes,"Study data, code, or materials indicated at URL"
AB_1318,Yes,"Study data, code, or materials indicated at URL"
AB_1319,Yes,"Study data, code, or materials indicated at URL"
AB_1320,Yes,"Study data, code, or materials indicated at URL"
