NO,Result,Reason
AB_0941,Yes,Research-related materials plausibly available at URL
AB_0942,Yes,Study data or code available at URL
AB_0943,Yes,Research-related materials plausibly available at URL
AB_0944,Yes,Research-related materials plausibly available at URL
AB_0945,Yes,Study data or code available at URL
AB_0946,Yes,Study data or code available at URL
AB_0947,Yes,Study data or code available at repository URL
AB_0948,Yes,Study data or code available at URL
AB_0949,Yes,Study data or code available at URL
AB_0950,Yes,Study data or code available at URL
