NO,Result,Reason
AB_1171,Yes,"Study data, code, or materials indicated at URL"
AB_1172,Yes,"Study data, code, or materials indicated at URL"
AB_1173,Yes,URL plausibly provides research-related outputs
AB_1174,Yes,"Study data, code, or materials indicated at URL"
AB_1175,Yes,"Study data, code, or materials indicated at URL"
AB_1176,Yes,"Study data, code, or materials indicated at URL"
AB_1177,Yes,URL plausibly provides research-related outputs
AB_1178,Yes,"Study data, code, or materials indicated at URL"
AB_1179,Yes,"Study data, code, or materials indicated at URL"
AB_1180,Yes,"Study data, code, or materials indicated at URL"
