NO,Result,Reason
AB_1471,Yes,Research-related materials indicated at URL in abstract
AB_1472,Yes,Research-related materials indicated at URL in abstract
AB_1473,Yes,Research-related materials indicated at URL in abstract
AB_1474,Yes,Research-related materials indicated at URL in abstract
AB_1475,Yes,Research-related materials indicated at URL in abstract
AB_1476,Yes,Research-related materials indicated at URL in abstract
AB_1477,Yes,Research-related materials indicated at URL in abstract
AB_1478,Yes,Research-related materials indicated at URL in abstract
AB_1479,Yes,Research-related materials indicated at URL in abstract
AB_1480,Yes,Research-related materials indicated at URL in abstract
