NO,Result,Reason
AB_1121,Yes,"Study data, code, or materials indicated at URL"
AB_1122,Yes,"Study data, code, or materials indicated at URL"
AB_1123,Yes,"Study data, code, or materials indicated at URL"
AB_1124,Yes,"Study data, code, or materials indicated at URL"
AB_1125,Yes,"Study data, code, or materials indicated at URL"
AB_1126,Yes,"Study data, code, or materials indicated at URL"
AB_1127,Yes,"Study data, code, or materials indicated at URL"
AB_1128,Yes,"Study data, code, or materials indicated at URL"
AB_1129,Yes,"Study data, code, or materials indicated at URL"
AB_1130,Yes,"Study data, code, or materials indicated at URL"
