NO,Result,Reason
AB_3561,Yes,Study data or materials available at URL
AB_3562,Yes,Study data or materials available at URL
AB_3563,Yes,Study data or materials available at URL
AB_3564,Yes,Study data or materials available at URL
AB_3565,Yes,Study data or materials available at URL
AB_3566,Yes,Study data or materials available at URL
AB_3567,Yes,Study data or materials available at URL
AB_3568,Yes,Study data or materials available at URL
AB_3569,Yes,Study data or materials available at URL
AB_3570,Yes,Study data or materials available at URL
