NO,Result,Reason
AB_0481,Yes,Study data or materials available at repository URL
AB_0482,Yes,Study data or materials available at repository URL
AB_0483,Yes,Study data or materials available at repository URL
AB_0484,Yes,Study data or materials available at repository URL
AB_0485,Yes,Study data or materials available at repository URL
AB_0486,Yes,Study data or materials available at repository URL
AB_0487,Yes,Study data or materials available at repository URL
AB_0488,Yes,Study data or materials available at repository URL
AB_0489,Yes,Study data or materials available at repository URL
AB_0490,Yes,Study data or materials available at repository URL
