NO,Result,Reason
AB_3431,Yes,Study data or materials available at URL
AB_3432,Yes,Study data or materials available at URL
AB_3433,Yes,Study data or materials available at URL
AB_3434,No URL found,No explicit http/https URL found
AB_3435,Yes,Study data or materials available at URL
AB_3436,Yes,Study data or materials available at URL
AB_3437,Yes,Study data or materials available at URL
AB_3438,Yes,Study data or materials available at URL
AB_3439,Yes,Study data or materials available at URL
AB_3440,No,URL present but no research outputs indicated
