NO,Result,Reason
AB_1211,Yes,"Study data, code, or materials indicated at URL"
AB_1212,Yes,"Study data, code, or materials indicated at URL"
AB_1213,Yes,"Study data, code, or materials indicated at URL"
AB_1214,Yes,"Study data, code, or materials indicated at URL"
AB_1215,Yes,"Study data, code, or materials indicated at URL"
AB_1216,Yes,"Study data, code, or materials indicated at URL"
AB_1217,Yes,"Study data, code, or materials indicated at URL"
AB_1218,Yes,"Study data, code, or materials indicated at URL"
AB_1219,Yes,"Study data, code, or materials indicated at URL"
AB_1220,Yes,"Study data, code, or materials indicated at URL"
