NO,Result,Reason
AB_2581,Yes,"Study data, code, or resources available at repository or project URL"
AB_2582,Yes,"Study data, code, or resources available at repository or project URL"
AB_2583,Yes,"Study data, code, or resources available at repository or project URL"
AB_2584,Yes,"Study data, code, or resources available at repository or project URL"
AB_2585,Yes,"Study data, code, or resources available at repository or project URL"
AB_2586,Yes,"Study data, code, or resources available at repository or project URL"
AB_2587,Yes,"Study data, code, or resources available at repository or project URL"
AB_2588,Yes,"Study data, code, or resources available at repository or project URL"
AB_2589,No URL found,No explicit http/https URL found
AB_2590,Yes,"Study data, code, or resources available at repository or project URL"
