NO,Result,Reason
AB_2311,Yes,"Study data, code, or resources available at repository or project URL"
AB_2312,Yes,"Study data, code, or resources available at repository or project URL"
AB_2313,Yes,"Study data, code, or resources available at repository or project URL"
AB_2314,Yes,"Study data, code, or resources available at repository or project URL"
AB_2315,Yes,"Study data, code, or resources available at repository or project URL"
AB_2316,Yes,"Study data, code, or resources available at repository or project URL"
AB_2317,Yes,"Study data, code, or resources available at repository or project URL"
AB_2318,Yes,"Study data, code, or resources available at repository or project URL"
AB_2319,Yes,"Study data, code, or resources available at repository or project URL"
AB_2320,Yes,"Study data, code, or resources available at repository or project URL"
