NO,Result,Reason
AB_0331,Yes,Study data or materials available at repository URL
AB_0332,Yes,Study data or materials available at repository URL
AB_0333,Yes,Study data or materials available at repository URL
AB_0334,Yes,Study data or materials available at repository URL
AB_0335,No URL found,No explicit http/https URL found
AB_0336,Yes,Study data or materials available at repository URL
AB_0337,Yes,Study data or materials available at repository URL
AB_0338,Yes,Study data or materials available at repository URL
AB_0339,Yes,Study data or materials available at repository URL
AB_0340,Yes,Study data or materials available at repository URL
