NO,Result,Reason
AB_1831,Yes,Study code available at GitHub repository URL
AB_1832,Yes,Study code available at GitHub repository URL
AB_1833,Yes,Study-related resources available at URL
AB_1834,Yes,Study code available at GitHub repository URL
AB_1835,Yes,Study code available at GitHub repository URL
AB_1836,Yes,Study code available at GitHub repository URL
AB_1837,No,"URL explicitly refers to registration record, not study outputs"
AB_1838,Yes,Study code available at GitHub repository URL
AB_1839,Yes,Study code available at GitHub repository URL
AB_1840,Yes,Study code available at GitHub repository URL
