NO,Result,Reason
AB_2261,Yes,"Study data, code, or resources available at repository URL"
AB_2262,Yes,"Study data, code, or resources available at repository URL"
AB_2263,Yes,"Study data, code, or resources available at repository URL"
AB_2264,Yes,"Study data, code, or resources available at repository URL"
AB_2265,Yes,"Study data, code, or resources available at repository URL"
AB_2266,Yes,"Study data, code, or resources available at repository URL"
AB_2267,Yes,"Study data, code, or resources available at repository URL"
AB_2268,Yes,"Study data, code, or resources available at repository URL"
AB_2269,Yes,"Study data, code, or resources available at repository URL"
AB_2270,Yes,"Study data, code, or resources available at repository URL"
