NO,Result,Reason
AB_2431,Yes,"Study data, code, or resources available at repository or project URL"
AB_2432,No URL found,No explicit http/https URL found
AB_2433,Yes,"Study data, code, or resources available at repository or project URL"
AB_2434,Yes,"Study data, code, or resources available at repository or project URL"
AB_2435,Yes,"Study data, code, or resources available at repository or project URL"
AB_2436,Yes,"Study data, code, or resources available at repository or project URL"
AB_2437,Yes,"Study data, code, or resources available at repository or project URL"
AB_2438,Yes,"Study data, code, or resources available at repository or project URL"
AB_2439,Yes,"Study data, code, or resources available at repository or project URL"
AB_2440,Yes,"Study data, code, or resources available at repository or project URL"
