NO,Result,Reason
AB_0071,Yes,"Study data, code, or materials available at repository URL"
AB_0072,Yes,"Study data, code, or materials available at repository URL"
AB_0073,Yes,"Study data, code, or materials available at repository URL"
AB_0074,Yes,"Study data, code, or materials available at repository URL"
AB_0075,Yes,"Study data, code, or materials available at repository URL"
AB_0076,Yes,"Study data, code, or materials available at repository URL"
AB_0077,Yes,"Study data, code, or materials available at repository URL"
AB_0078,No URL found,No explicit http/https URL found
AB_0079,Yes,"Study data, code, or materials available at repository URL"
AB_0080,Yes,"Study data, code, or materials available at repository URL"
