NO,Result,Reason
AB_3841,Yes,Study data or materials available at URL
AB_3842,Yes,Study data or materials available at URL
AB_3843,Yes,Study data or materials available at URL
AB_3844,Yes,Study data or materials available at URL
AB_3845,Yes,Study data or materials available at URL
AB_3846,Yes,Study data or materials available at URL
AB_3847,Yes,URL plausibly provides research-related outputs
AB_3848,Yes,Study data or materials available at URL
AB_3849,Yes,Study data or materials available at URL
AB_3850,Yes,Study data or materials available at URL
