NO,Result,Reason
AB_3651,Yes,Study data or materials available at URL
AB_3652,Yes,Study data or materials available at URL
AB_3653,Yes,Study data or materials available at URL
AB_3654,Yes,Study data or materials available at URL
AB_3655,Yes,Study data or materials available at URL
AB_3656,No URL found,No explicit http/https URL found
AB_3657,Yes,Study data or materials available at URL
AB_3658,Yes,Study data or materials available at URL
AB_3659,Yes,Study data or materials available at URL
AB_3660,Yes,Study data or materials available at URL
