NO,Result,Reason
AB_1401,Yes,"Study data, code, or materials indicated at URL"
AB_1402,Yes,"Study data, code, or materials indicated at URL"
AB_1403,No,"DOI URL appears to refer only to the article, not study outputs"
AB_1404,Yes,"Study data, code, or materials indicated at URL"
AB_1405,Yes,"Study data, code, or materials indicated at URL"
AB_1406,Yes,URL plausibly provides research-related outputs
AB_1407,Yes,"Study data, code, or materials indicated at URL"
AB_1408,Yes,URL plausibly provides research-related outputs
AB_1409,Yes,"Study data, code, or materials indicated at URL"
AB_1410,Yes,URL plausibly provides research-related outputs
