NO,Result,Reason
AB_0701,Yes,Study data or code available at URL
AB_0702,Yes,Study data or code available at URL
AB_0703,No,URL explicitly refers to third-party registry without study outputs
AB_0704,Yes,Study data or code available at URL
AB_0705,Yes,Research-related materials plausibly available at URL
AB_0706,Yes,Research-related materials plausibly available at URL
AB_0707,Yes,Research-related materials plausibly available at URL
AB_0708,Yes,Research-related materials plausibly available at URL
AB_0709,Yes,Study data or code available at repository URL
AB_0710,Yes,Research-related materials plausibly available at URL
