NO,Result,Reason
AB_3661,Yes,Study data or materials available at URL
AB_3662,Yes,Study data or materials available at URL
AB_3663,Yes,Study data or materials available at URL
AB_3664,Yes,Study data or materials available at URL
AB_3665,Yes,Study data or materials available at URL
AB_3666,Yes,Study data or materials available at URL
AB_3667,Yes,Study data or materials available at URL
AB_3668,Yes,Study data or materials available at URL
AB_3669,Yes,Study data or materials available at URL
AB_3670,Yes,Study data or materials available at URL
