NO,Result,Reason
AB_0971,Yes,"Study data, code, or materials indicated at URL"
AB_0972,Yes,"Study data, code, or materials indicated at URL"
AB_0973,Yes,"Study data, code, or materials indicated at URL"
AB_0974,Yes,"Study data, code, or materials indicated at URL"
AB_0975,Yes,"Study data, code, or materials indicated at URL"
AB_0976,Yes,"Study data, code, or materials indicated at URL"
AB_0977,Yes,"Study data, code, or materials indicated at URL"
AB_0978,Yes,"Study data, code, or materials indicated at URL"
AB_0979,Yes,URL plausibly provides research-related outputs
AB_0980,Yes,"Study data, code, or materials indicated at URL"
