NO,Result,Reason
AB_3801,Yes,Study data or materials available at URL
AB_3802,Yes,Study data or materials available at URL
AB_3803,Yes,Study data or materials available at URL
AB_3804,Yes,Study data or materials available at URL
AB_3805,Yes,Study data or materials available at URL
AB_3806,Yes,Study data or materials available at URL
AB_3807,Yes,Study data or materials available at URL
AB_3808,Yes,Study data or materials available at URL
AB_3809,Yes,Study data or materials available at URL
AB_3810,Yes,Study data or materials available at URL
