NO,Result,Reason
AB_3941,Yes,Study data or materials available at URL
AB_3942,Yes,Study data or materials available at URL
AB_3943,Yes,Study data or materials available at URL
AB_3944,Yes,Study data or materials available at URL
AB_3945,Yes,URL plausibly provides research-related outputs
AB_3946,Yes,URL plausibly provides research-related outputs
AB_3947,Yes,Study data or materials available at URL
AB_3948,Yes,Study data or materials available at URL
AB_3949,Yes,Study data or materials available at URL
AB_3950,Yes,URL plausibly provides research-related outputs
