NO,Result,Reason
AB_0241,Yes,Study data or materials available at repository URL
AB_0242,Yes,Study data or materials available at repository URL
AB_0243,Yes,Study data or materials available at repository URL
AB_0244,Yes,Study data or materials available at repository URL
AB_0245,Yes,Study data or materials available at repository URL
AB_0246,Yes,Study data or materials available at repository URL
AB_0247,Yes,Study data or materials available at repository URL
AB_0248,Yes,Study data or materials available at repository URL
AB_0249,Yes,Study data or materials available at repository URL
AB_0250,No,URL explicitly refers to non-output resource or no indication of study outputs
