NO,Result,Reason
AB_1871,Yes,Study code available at GitHub repository URL
AB_1872,Yes,Study code available at GitHub repository URL
AB_1873,Yes,Study-related resources available at URL
AB_1874,Yes,Study-related resources available at URL
AB_1875,Yes,Study-related resources available at URL
AB_1876,Yes,Study-related resources available at URL
AB_1877,Yes,Study code available at GitHub repository URL
AB_1878,Yes,Study code available at GitHub repository URL
AB_1879,Yes,Study code available at GitHub repository URL
AB_1880,Yes,Study-related resources available at URL
