NO,Result,Reason
AB_3691,Yes,Study data or materials available at URL
AB_3692,Yes,Study data or materials available at URL
AB_3693,Yes,Study data or materials available at URL
AB_3694,Yes,Study data or materials available at URL
AB_3695,No URL found,No explicit http/https URL found
AB_3696,Yes,Study data or materials available at URL
AB_3697,Yes,Study data or materials available at URL
AB_3698,Yes,Study data or materials available at URL
AB_3699,Yes,Study data or materials available at URL
AB_3700,Yes,Study data or materials available at URL
