NO,Result,Reason
AB_0861,Yes,Study data or code available at repository URL
AB_0862,Yes,Study data or code available at URL
AB_0863,Yes,Research-related materials plausibly available at URL
AB_0864,Yes,Study data or code available at repository URL
AB_0865,Yes,Study data or code available at URL
AB_0866,Yes,Study data or code available at repository URL
AB_0867,Yes,Study data or code available at repository URL
AB_0868,Yes,Research-related materials plausibly available at URL
AB_0869,Yes,Study data or code available at URL
AB_0870,Yes,Study data or code available at URL
