NO,Result,Reason
AB_3921,Yes,URL plausibly provides research-related outputs
AB_3922,Yes,Study data or materials available at URL
AB_3923,Yes,URL plausibly provides research-related outputs
AB_3924,Yes,Study data or materials available at URL
AB_3925,Yes,Study data or materials available at URL
AB_3926,Yes,Study data or materials available at URL
AB_3927,Yes,Study data or materials available at URL
AB_3928,Yes,URL plausibly provides research-related outputs
AB_3929,Yes,URL plausibly provides research-related outputs
AB_3930,Yes,Study data or materials available at URL
