NO,Result,Reason
AB_2621,No URL found,No explicit http/https URL found
AB_2622,Yes,"Study data, code, or resources available at repository or project URL"
AB_2623,Yes,"Study data, code, or resources available at repository or project URL"
AB_2624,Yes,"Study data, code, or resources available at repository or project URL"
AB_2625,Yes,"Study data, code, or resources available at repository or project URL"
AB_2626,Yes,"Study data, code, or resources available at repository or project URL"
AB_2627,Yes,"Study data, code, or resources available at repository or project URL"
AB_2628,Yes,"Study data, code, or resources available at repository or project URL"
AB_2629,No URL found,No explicit http/https URL found
AB_2630,Yes,"Study data, code, or resources available at repository or project URL"
