NO,Result,Reason
AB_0931,Yes,Study data or code available at URL
AB_0932,No URL found,No explicit http/https URL found
AB_0933,Yes,Study data or code available at repository URL
AB_0934,Yes,Research-related materials plausibly available at URL
AB_0935,Yes,Study resources available at project website URL
AB_0936,Yes,Study data or code available at URL
AB_0937,Yes,Research-related materials plausibly available at URL
AB_0938,Yes,Research-related materials plausibly available at URL
AB_0939,Yes,Study data or code available at URL
AB_0940,Yes,Study data or code available at URL
