NO,Result,Reason
AB_0211,Yes,Study data or materials available at repository URL
AB_0212,Yes,Study data or materials available at repository URL
AB_0213,Yes,Study data or materials available at repository URL
AB_0214,Yes,Study data or materials available at repository URL
AB_0215,Yes,Study data or materials available at repository URL
AB_0216,Yes,Study data or materials available at repository URL
AB_0217,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0218,Yes,Study data or materials available at repository URL
AB_0219,No URL found,No explicit http/https URL found
AB_0220,Yes,Study data or materials available at repository URL
