NO,Result,Reason
AB_3271,Yes,Study data or materials available at URL
AB_3272,Yes,Study data or materials available at URL
AB_3273,Yes,Study data or materials available at URL
AB_3274,Yes,Study data or materials available at URL
AB_3275,Yes,Study data or materials available at URL
AB_3276,Yes,Study data or materials available at URL
AB_3277,Yes,Study data or materials available at URL
AB_3278,Yes,Study data or materials available at URL
AB_3279,Yes,Study data or materials available at URL
AB_3280,Yes,Study data or materials available at URL
