NO,Result,Reason
AB_0371,Yes,Study data or materials available at repository URL
AB_0372,Yes,Study data or materials available at repository URL
AB_0373,Yes,Study data or materials available at repository URL
AB_0374,Yes,Study data or materials available at repository URL
AB_0375,Yes,Study data or materials available at repository URL
AB_0376,Yes,Study data or materials available at repository URL
AB_0377,Yes,Study data or materials available at repository URL
AB_0378,Yes,Study data or materials available at repository URL
AB_0379,Yes,Study data or materials available at repository URL
AB_0380,No,URL explicitly refers to non-output resource or no indication of study outputs
