NO,Result,Reason
AB_3931,Yes,Study data or materials available at URL
AB_3932,Yes,Study data or materials available at URL
AB_3933,Yes,URL plausibly provides research-related outputs
AB_3934,Yes,Study data or materials available at URL
AB_3935,Yes,URL plausibly provides research-related outputs
AB_3936,Yes,Study data or materials available at URL
AB_3937,Yes,Study data or materials available at URL
AB_3938,Yes,Study data or materials available at URL
AB_3939,Yes,Study data or materials available at URL
AB_3940,Yes,Study data or materials available at URL
