NO,Result,Reason
AB_1381,Yes,"Study data, code, or materials indicated at URL"
AB_1382,Yes,"Study data, code, or materials indicated at URL"
AB_1383,Yes,"Study data, code, or materials indicated at URL"
AB_1384,Yes,"Study data, code, or materials indicated at URL"
AB_1385,Yes,URL plausibly provides research-related outputs
AB_1386,Yes,URL plausibly provides research-related outputs
AB_1387,Yes,"Study data, code, or materials indicated at URL"
AB_1388,Yes,URL plausibly provides research-related outputs
AB_1389,Yes,"Study data, code, or materials indicated at URL"
AB_1390,Yes,URL plausibly provides research-related outputs
